XMEAS(1),XMEAS(2),XMEAS(3),XMEAS(4),XMEAS(5),XMEAS(6),XMEAS(7),XMEAS(8),XMEAS(9),XMEAS(10),XMEAS(11),XMEAS(12),XMEAS(13),XMEAS(14),XMEAS(15),XMEAS(16),XMEAS(17),XMEAS(18),XMEAS(19),XMEAS(20),XMEAS(21),XMEAS(22),XMEAS(23),XMEAS(24),XMEAS(25),XMEAS(26),XMEAS(27),XMEAS(28),XMEAS(29),XMEAS(30),XMEAS(31),XMEAS(32),XMEAS(33),XMEAS(34),XMEAS(35),XMEAS(36),XMEAS(37),XMEAS(38),XMEAS(39),XMEAS(40),XMEAS(41),XMV(1),XMV(2),XMV(3),XMV(4),XMV(5),XMV(6),XMV(7),XMV(8),XMV(9),XMV(10),XMV(11),label
0.23,3670.00,4500.00,9.33,26.90,42.40,2710.00,75.50,120.00,0.34,80.30,49.00,2640.00,24.20,50.20,3100.00,22.90,65.70,232.00,341.00,94.50,77.50,32.30,8.94,26.20,6.96,18.70,1.67,33.40,13.90,23.80,1.50,18.90,2.27,4.68,2.32,0.03,0.84,0.10,53.10,43.90,62.70,54.90,22.90,61.20,22.40,39.90,35.30,46.90,47.20,40.80,18.20,0.00
0.23,3640.00,4530.00,9.23,27.10,42.40,2700.00,75.30,120.00,0.34,80.10,50.20,2630.00,26.90,51.70,3100.00,23.30,65.80,230.00,341.00,94.70,77.00,32.30,8.94,26.20,6.96,18.70,1.67,33.40,13.90,23.80,1.50,18.90,2.27,4.68,2.32,0.03,0.84,0.10,53.10,43.90,63.30,54.60,22.80,62.30,21.80,40.10,38.60,50.50,47.20,40.50,17.40,0.00
0.24,3670.00,4520.00,9.36,26.30,42.30,2700.00,74.80,120.00,0.35,79.90,49.40,2630.00,25.30,50.50,3100.00,23.10,65.70,231.00,342.00,94.60,77.10,32.30,8.95,26.90,6.82,18.90,1.66,33.10,13.90,24.00,1.15,18.90,2.24,4.86,2.24,0.03,0.84,0.10,53.10,43.90,62.30,54.20,23.50,61.20,22.20,40.80,36.30,47.70,47.10,41.40,17.80,0.00
0.24,3650.00,4520.00,9.37,26.80,42.30,2700.00,75.70,120.00,0.35,79.90,51.70,2630.00,26.10,51.50,3100.00,22.40,65.60,228.00,341.00,94.80,77.30,32.30,8.95,26.90,6.82,18.90,1.66,33.10,13.90,24.00,1.15,18.90,2.24,4.86,2.24,0.03,0.84,0.10,53.10,43.90,62.60,54.10,23.70,61.20,22.20,41.00,43.20,50.00,47.30,39.70,19.30,0.00
0.23,3680.00,4510.00,9.38,26.60,42.30,2710.00,75.00,120.00,0.35,80.20,50.20,2630.00,24.00,51.40,3100.00,23.70,65.60,232.00,342.00,94.60,77.60,32.10,8.96,26.60,6.93,18.90,1.68,33.10,13.70,23.90,1.24,19.10,2.30,4.86,2.36,0.03,0.84,0.10,53.10,43.90,63.30,53.60,22.90,62.50,22.30,41.20,38.70,49.70,46.90,41.70,16.30,0.00
0.23,3660.00,4510.00,9.35,26.80,42.30,2710.00,75.30,120.00,0.35,80.20,49.60,2640.00,23.10,51.70,3110.00,22.50,65.70,230.00,341.00,94.50,77.40,32.10,8.96,26.60,6.93,18.90,1.68,33.10,13.70,23.90,1.24,19.10,2.30,4.86,2.36,0.01,0.83,0.11,53.10,44.00,63.60,53.70,22.80,63.20,22.10,41.10,37.10,50.50,47.20,40.80,19.20,0.00
0.26,3640.00,4480.00,9.32,26.80,42.40,2710.00,75.70,120.00,0.33,80.20,51.20,2640.00,26.20,50.10,3110.00,23.00,65.70,229.00,341.00,94.50,77.40,32.00,8.86,26.10,6.83,18.70,1.67,33.10,13.70,24.00,1.35,17.70,2.22,4.82,2.34,0.01,0.83,0.11,53.10,44.00,63.00,54.10,25.50,63.80,21.80,38.80,41.60,46.80,47.20,41.20,17.90,0.00
0.26,3620.00,4500.00,9.37,27.10,42.40,2710.00,75.80,120.00,0.33,80.10,50.20,2640.00,25.00,51.10,3100.00,23.70,65.70,229.00,341.00,94.80,77.20,32.00,8.86,26.10,6.83,18.70,1.67,33.10,13.70,24.00,1.35,17.70,2.22,4.82,2.34,0.01,0.83,0.11,53.10,44.00,63.50,53.90,25.40,60.00,22.20,38.70,38.70,49.00,47.10,41.10,16.20,0.00
0.26,3700.00,4570.00,9.36,27.30,42.30,2710.00,75.00,120.00,0.33,80.20,48.70,2640.00,25.30,49.90,3110.00,22.10,65.70,228.00,341.00,94.30,77.70,32.10,8.86,26.50,6.92,18.50,1.62,32.70,13.90,24.10,1.31,18.60,2.31,4.86,2.24,0.01,0.83,0.11,53.10,44.00,62.90,53.50,25.90,62.00,22.60,38.60,34.30,46.40,47.30,41.00,20.00,0.00
0.27,3660.00,4530.00,9.34,27.00,42.80,2710.00,75.60,120.00,0.32,80.10,49.80,2640.00,24.20,50.00,3110.00,22.40,65.70,229.00,342.00,94.50,76.90,32.10,8.86,26.50,6.92,18.50,1.62,32.70,13.90,24.10,1.31,18.60,2.31,4.86,2.24,0.01,0.83,0.11,53.10,44.00,63.50,54.00,25.70,61.70,22.30,38.90,37.60,46.50,47.10,41.00,19.50,0.00
0.25,3650.00,4530.00,9.34,27.10,42.50,2710.00,75.00,120.00,0.34,79.90,50.60,2630.00,24.50,51.00,3100.00,23.50,65.70,230.00,342.00,94.60,77.50,32.00,9.02,27.00,6.82,18.60,1.67,32.60,13.80,24.10,1.30,18.40,2.24,4.89,2.20,0.02,0.85,0.11,54.00,44.50,62.90,54.50,25.10,61.30,22.20,41.20,39.70,48.90,46.80,41.40,16.70,0.00
0.26,3640.00,4530.00,9.34,27.00,42.30,2710.00,75.20,120.00,0.35,80.10,51.10,2640.00,26.40,48.70,3110.00,22.30,65.60,229.00,342.00,94.70,77.50,32.00,9.02,27.00,6.82,18.60,1.67,32.60,13.80,24.10,1.30,18.40,2.24,4.89,2.20,0.02,0.85,0.11,54.00,44.50,63.10,54.50,25.00,62.20,22.00,40.90,41.20,43.50,46.80,41.60,19.50,0.00
0.27,3670.00,4540.00,9.44,26.90,42.50,2710.00,73.90,120.00,0.34,80.10,51.50,2640.00,24.50,49.80,3110.00,23.20,65.70,228.00,341.00,94.50,77.20,32.40,8.86,26.20,6.90,18.80,1.61,33.20,13.60,23.50,1.44,18.60,2.27,4.89,2.37,0.02,0.85,0.11,54.00,44.50,63.50,54.10,26.40,62.10,22.30,40.80,42.60,46.10,46.80,41.20,17.60,0.00
0.27,3680.00,4530.00,9.33,26.90,42.10,2710.00,74.80,120.00,0.34,80.20,49.60,2640.00,25.60,51.30,3110.00,23.10,65.60,227.00,342.00,94.50,77.50,32.40,8.86,26.20,6.90,18.80,1.61,33.20,13.60,23.50,1.44,18.60,2.27,4.89,2.37,0.02,0.85,0.11,54.00,44.50,63.20,54.20,26.70,61.30,22.50,40.70,36.80,49.50,46.80,41.60,17.60,0.00
0.23,3670.00,4490.00,9.28,27.00,41.90,2710.00,74.60,120.00,0.31,80.30,48.30,2640.00,25.70,50.10,3110.00,22.90,65.70,229.00,342.00,94.50,77.30,32.00,8.96,26.10,6.81,18.40,1.66,33.20,13.90,24.20,1.30,18.20,2.26,4.80,2.34,0.02,0.85,0.11,54.00,44.50,62.80,54.20,22.10,60.00,22.60,36.80,33.10,46.70,46.50,40.80,18.10,0.00
0.23,3640.00,4520.00,9.27,27.00,42.50,2710.00,74.40,120.00,0.31,80.10,50.00,2640.00,25.00,48.60,3100.00,22.60,65.70,229.00,342.00,94.60,77.20,32.00,8.96,26.10,6.81,18.40,1.66,33.20,13.90,24.20,1.30,18.20,2.26,4.80,2.34,0.04,0.84,0.10,53.30,43.10,63.30,53.80,22.40,61.60,22.40,37.00,38.20,43.30,47.10,41.70,18.80,0.00
0.27,3650.00,4560.00,9.26,27.30,42.30,2710.00,74.80,120.00,0.34,79.80,50.10,2630.00,24.60,50.30,3100.00,22.20,65.70,228.00,342.00,94.60,76.90,32.10,8.85,26.50,6.95,18.50,1.67,33.10,13.90,23.60,1.20,18.60,2.30,4.88,2.30,0.04,0.84,0.10,53.30,43.10,64.00,54.40,26.30,63.50,22.50,40.00,38.30,47.20,47.40,41.00,19.80,0.00
0.27,3670.00,4600.00,9.40,26.60,42.40,2710.00,75.70,120.00,0.34,79.90,49.50,2640.00,24.70,49.50,3100.00,22.30,65.60,230.00,341.00,94.50,77.20,32.10,8.85,26.50,6.95,18.50,1.67,33.10,13.90,23.60,1.20,18.60,2.30,4.88,2.30,0.04,0.84,0.10,53.30,43.10,63.60,54.00,26.20,61.10,22.20,40.80,36.50,45.40,47.40,40.30,19.70,0.00
0.26,3680.00,4490.00,9.28,26.90,42.40,2710.00,75.80,120.00,0.35,79.90,50.70,2630.00,25.60,50.80,3100.00,22.40,65.60,231.00,342.00,94.70,77.00,32.10,8.92,26.60,6.86,19.30,1.67,33.20,13.90,23.90,1.25,18.50,2.28,4.80,2.28,0.04,0.84,0.10,53.30,43.10,62.30,55.00,25.90,61.10,22.20,40.90,40.00,48.30,47.50,40.70,19.50,0.00
0.26,3650.00,4540.00,9.28,26.80,42.20,2710.00,74.70,120.00,0.35,80.10,50.00,2640.00,23.00,49.90,3100.00,23.20,65.60,231.00,342.00,94.60,77.50,32.10,8.92,26.60,6.86,19.30,1.67,33.20,13.90,23.90,1.25,18.50,2.28,4.80,2.28,0.04,0.84,0.10,53.30,43.10,62.70,54.50,26.00,60.20,22.40,41.20,38.10,46.40,47.70,41.00,17.50,0.00
0.26,3650.00,4440.00,9.33,26.60,42.50,2710.00,74.80,120.00,0.34,80.10,50.50,2640.00,24.80,49.50,3100.00,23.50,65.70,233.00,341.00,94.60,77.20,32.20,8.82,26.30,7.06,18.50,1.66,33.40,13.90,24.00,1.33,18.20,2.25,4.87,2.31,0.03,0.84,0.09,53.30,44.40,63.40,53.60,25.30,61.20,22.20,41.00,39.60,45.30,47.30,40.70,16.90,0.00
0.26,3670.00,4490.00,9.30,26.90,42.50,2700.00,75.00,120.00,0.34,80.00,49.60,2630.00,25.10,50.60,3100.00,22.10,65.70,231.00,342.00,94.60,77.20,32.20,8.82,26.30,7.06,18.50,1.66,33.40,13.90,24.00,1.33,18.20,2.25,4.87,2.31,0.03,0.84,0.09,53.30,44.40,63.10,53.00,25.30,61.10,22.30,41.00,36.90,47.80,47.40,41.70,20.10,0.00
0.25,3630.00,4550.00,9.47,26.90,41.90,2700.00,74.90,120.00,0.35,80.10,51.10,2630.00,22.30,50.40,3100.00,23.50,65.70,230.00,342.00,94.70,77.20,31.70,9.00,26.00,7.07,18.70,1.65,32.50,13.90,24.10,1.24,18.60,2.26,4.84,2.37,0.03,0.84,0.09,53.30,44.40,61.90,54.30,24.70,60.30,22.20,41.50,41.40,47.40,47.50,41.00,16.80,0.00
0.25,3620.00,4560.00,9.25,26.70,42.50,2710.00,73.80,120.00,0.35,80.10,51.80,2630.00,25.40,48.70,3100.00,23.90,65.70,228.00,342.00,94.70,77.20,31.70,9.00,26.00,7.07,18.70,1.65,32.50,13.90,24.10,1.24,18.60,2.26,4.84,2.37,0.03,0.84,0.09,53.30,44.40,62.20,54.20,24.50,62.80,22.10,41.30,43.50,43.60,47.70,40.80,15.90,0.00
0.30,3590.00,4520.00,9.37,26.60,42.40,2710.00,75.40,120.00,0.35,80.20,49.20,2640.00,25.40,49.30,3100.00,21.70,65.70,231.00,342.00,94.90,77.80,32.10,8.99,26.80,6.83,18.60,1.69,33.10,13.80,24.20,1.21,18.80,2.23,4.79,2.31,0.03,0.84,0.09,53.30,44.40,62.40,54.10,29.20,62.40,22.40,40.90,35.80,45.00,47.40,40.70,21.10,0.00
0.30,3650.00,4530.00,9.47,26.90,42.40,2710.00,76.80,120.00,0.35,80.10,49.40,2640.00,24.50,49.30,3110.00,21.40,65.70,230.00,342.00,94.70,77.30,32.10,8.99,26.80,6.83,18.60,1.69,33.10,13.80,24.20,1.21,18.80,2.23,4.79,2.31,0.02,0.85,0.10,54.50,43.50,61.40,54.00,29.40,61.30,22.10,41.00,36.40,45.00,47.50,40.40,21.70,0.00
0.26,3700.00,4540.00,9.45,27.10,42.20,2710.00,74.20,120.00,0.34,80.10,50.60,2640.00,24.30,50.10,3110.00,23.10,65.70,231.00,342.00,94.60,77.60,32.00,8.83,26.00,6.78,18.90,1.65,33.10,13.70,24.10,1.29,18.60,2.20,4.92,2.25,0.02,0.85,0.10,54.50,43.50,62.60,54.30,26.10,59.80,22.40,40.20,40.00,46.70,47.50,40.70,17.70,0.00
0.26,3670.00,4560.00,9.32,26.80,42.10,2710.00,75.60,120.00,0.34,80.30,49.90,2640.00,24.20,50.40,3110.00,24.10,65.70,231.00,343.00,94.60,77.30,32.00,8.83,26.00,6.78,18.90,1.65,33.10,13.70,24.10,1.29,18.60,2.20,4.92,2.25,0.02,0.85,0.10,54.50,43.50,63.10,54.00,26.20,63.50,22.80,40.30,37.70,47.60,47.60,42.00,15.30,0.00
0.28,3640.00,4510.00,9.28,26.90,42.00,2710.00,74.90,120.00,0.33,80.00,48.90,2640.00,24.10,48.00,3110.00,22.10,65.70,231.00,343.00,94.50,77.00,32.40,8.87,26.50,6.76,18.90,1.66,33.10,14.00,24.40,1.16,18.30,2.26,4.84,2.34,0.02,0.85,0.10,54.50,43.50,64.10,53.90,27.50,59.90,22.70,38.40,34.90,42.00,47.60,41.60,20.00,0.00
0.28,3650.00,4500.00,9.31,26.90,42.40,2710.00,74.60,120.00,0.33,79.80,51.10,2640.00,25.80,47.10,3100.00,23.90,65.70,232.00,342.00,94.50,76.70,32.40,8.87,26.50,6.76,18.90,1.66,33.10,14.00,24.40,1.16,18.30,2.26,4.84,2.34,0.02,0.85,0.10,54.50,43.50,63.90,54.00,27.30,62.10,22.40,38.50,41.20,39.90,47.50,40.20,15.90,0.00
0.24,3700.00,4540.00,9.40,27.00,42.50,2710.00,75.50,120.00,0.35,79.80,50.80,2640.00,26.00,50.80,3100.00,22.20,65.70,232.00,343.00,94.60,77.20,32.90,8.95,26.20,6.88,18.30,1.67,33.10,13.80,24.10,1.32,18.40,2.24,4.82,2.38,0.02,0.85,0.10,52.60,44.90,63.40,53.60,24.00,63.60,22.90,42.30,40.50,48.40,47.90,41.30,20.00,0.00
0.24,3680.00,4540.00,9.28,26.80,42.30,2700.00,74.90,120.00,0.35,79.90,49.40,2630.00,25.20,51.80,3100.00,22.80,65.70,232.00,342.00,94.50,77.40,32.90,8.95,26.20,6.88,18.30,1.67,33.10,13.80,24.10,1.32,18.40,2.24,4.82,2.38,0.02,0.85,0.10,52.60,44.90,63.60,53.60,24.00,62.50,22.40,42.10,36.20,50.70,48.20,41.00,18.60,0.00
0.19,3660.00,4550.00,9.29,26.90,42.40,2700.00,74.50,120.00,0.34,80.10,50.30,2630.00,26.20,50.10,3100.00,22.10,65.70,233.00,342.00,94.60,77.20,32.30,8.97,26.60,6.84,18.30,1.68,33.40,13.70,24.10,1.28,18.40,2.26,4.84,2.27,0.02,0.85,0.10,52.60,44.90,63.00,54.80,18.60,62.60,22.40,39.00,39.00,46.80,48.30,40.90,20.10,0.00
0.19,3680.00,4550.00,9.30,27.10,42.30,2700.00,75.10,120.00,0.33,80.00,50.00,2630.00,24.80,48.90,3100.00,22.80,65.80,234.00,341.00,94.50,77.60,32.30,8.97,26.60,6.84,18.30,1.68,33.40,13.70,24.10,1.28,18.40,2.26,4.84,2.27,0.02,0.85,0.10,52.60,44.90,62.60,54.90,18.80,63.40,22.30,39.20,38.10,44.10,48.40,41.00,18.50,0.00
0.24,3660.00,4570.00,9.28,26.70,42.30,2700.00,74.90,120.00,0.32,80.20,50.80,2630.00,26.30,50.00,3100.00,22.40,65.80,234.00,341.00,94.60,77.30,32.40,8.96,26.20,6.78,18.60,1.63,33.30,13.80,24.00,1.05,18.80,2.29,4.81,2.37,0.02,0.85,0.10,52.60,44.90,63.30,54.70,23.40,61.00,22.30,38.40,40.50,46.60,48.60,41.60,19.50,0.00
0.24,3650.00,4550.00,9.28,27.20,42.20,2700.00,75.00,120.00,0.33,80.20,49.70,2630.00,25.90,49.80,3100.00,23.60,65.90,234.00,341.00,94.60,77.80,32.40,8.96,26.20,6.78,18.60,1.63,33.30,13.80,24.00,1.05,18.80,2.29,4.81,2.37,0.01,0.85,0.10,52.60,43.40,63.60,55.00,23.40,60.90,22.30,38.30,37.20,46.20,48.70,41.20,16.40,0.00
0.22,3720.00,4530.00,9.23,26.80,42.30,2710.00,76.30,120.00,0.33,80.50,50.30,2640.00,24.30,49.00,3100.00,22.90,66.00,236.00,341.00,94.40,77.50,32.20,8.85,26.10,6.96,18.70,1.63,33.10,13.80,23.90,1.18,18.50,2.21,4.84,2.25,0.01,0.85,0.10,52.60,43.40,63.10,54.50,22.10,62.50,22.20,39.50,39.00,44.30,48.80,41.30,18.10,0.00
0.23,3690.00,4540.00,9.19,26.90,42.30,2700.00,75.40,120.00,0.33,80.30,51.40,2630.00,26.70,50.70,3100.00,21.60,66.00,236.00,340.00,94.50,77.10,32.20,8.85,26.10,6.96,18.70,1.63,33.10,13.80,23.90,1.18,18.50,2.21,4.84,2.25,0.01,0.85,0.10,52.60,43.40,63.60,54.40,22.00,62.20,21.90,39.40,42.10,48.20,49.00,40.80,21.20,0.00
0.24,3630.00,4540.00,9.39,27.10,42.80,2700.00,75.30,120.00,0.34,80.10,50.00,2630.00,24.40,47.90,3100.00,22.50,66.00,236.00,340.00,94.70,77.40,32.20,8.80,26.10,7.01,19.10,1.68,33.20,13.90,24.00,1.43,18.50,2.25,4.90,2.31,0.01,0.85,0.10,52.60,43.40,63.00,54.00,23.70,59.60,21.90,40.20,38.00,41.70,49.20,40.70,19.10,0.00
0.24,3660.00,4520.00,9.28,27.10,41.70,2700.00,75.20,120.00,0.34,80.10,49.60,2630.00,26.50,51.00,3100.00,22.70,66.00,238.00,340.00,94.60,77.10,32.20,8.80,26.10,7.01,19.10,1.68,33.20,13.90,24.00,1.43,18.50,2.25,4.90,2.31,0.01,0.85,0.10,52.60,43.40,62.40,54.20,23.70,60.90,21.90,40.00,36.80,49.00,49.20,39.50,18.80,0.00
0.24,3630.00,4480.00,9.28,27.00,42.10,2700.00,74.70,120.00,0.35,80.10,49.70,2630.00,24.70,50.40,3100.00,22.10,66.00,236.00,340.00,94.90,77.50,32.30,8.81,26.20,6.91,18.70,1.69,32.80,14.00,23.20,1.18,18.20,2.25,4.87,2.29,0.01,0.83,0.10,52.90,43.90,62.40,53.80,24.00,60.90,22.10,41.20,37.20,47.60,49.40,40.70,20.20,0.00
0.24,3630.00,4510.00,9.26,27.10,42.10,2700.00,75.60,120.00,0.35,80.10,49.60,2620.00,25.60,50.70,3100.00,23.20,66.00,237.00,340.00,94.70,77.10,32.30,8.81,26.20,6.91,18.70,1.69,32.80,14.00,23.20,1.18,18.20,2.25,4.87,2.29,0.01,0.83,0.10,52.90,43.90,62.40,53.50,24.10,62.40,21.50,41.50,36.90,48.20,49.40,40.70,17.60,0.00
0.23,3660.00,4490.00,9.35,26.70,42.30,2700.00,74.90,120.00,0.36,80.10,50.80,2620.00,25.90,51.70,3100.00,23.10,66.00,238.00,340.00,95.00,77.20,32.40,8.86,26.30,7.01,18.80,1.72,33.20,13.90,23.70,1.21,18.90,2.29,4.81,2.31,0.01,0.83,0.10,52.90,43.90,62.70,54.70,22.50,61.60,21.60,42.90,40.60,50.50,49.50,40.30,17.70,0.00
0.23,3650.00,4520.00,9.35,26.60,42.30,2700.00,75.30,120.00,0.36,80.20,50.70,2630.00,25.50,50.60,3090.00,22.70,66.00,240.00,340.00,94.70,77.20,32.40,8.86,26.30,7.01,18.80,1.72,33.20,13.90,23.70,1.21,18.90,2.29,4.81,2.31,0.01,0.83,0.10,52.90,43.90,62.90,54.30,22.90,60.40,21.70,43.30,40.20,47.90,49.50,40.70,18.70,0.00
0.22,3650.00,4510.00,9.43,26.90,42.50,2700.00,74.70,120.00,0.35,80.20,51.90,2630.00,24.40,50.90,3100.00,22.30,66.10,236.00,339.00,94.90,77.50,32.20,8.78,26.50,6.86,19.10,1.67,32.60,13.70,24.10,1.32,18.80,2.28,4.76,2.24,0.01,0.83,0.10,52.90,43.90,62.00,54.20,21.60,58.90,21.60,41.50,43.70,48.60,49.90,40.70,19.70,0.00
0.22,3600.00,4490.00,9.42,26.90,42.30,2700.00,74.90,120.00,0.34,80.40,50.30,2630.00,25.50,49.80,3100.00,22.70,66.10,237.00,340.00,94.80,77.60,32.20,8.78,26.50,6.86,19.10,1.67,32.60,13.70,24.10,1.32,18.80,2.28,4.76,2.24,0.01,0.85,0.09,53.80,44.60,62.80,54.40,21.50,58.70,22.00,41.90,38.90,46.10,49.60,41.00,18.70,0.00
0.24,3670.00,4490.00,9.29,27.00,42.10,2700.00,75.60,120.00,0.33,80.30,52.50,2620.00,26.20,51.50,3100.00,22.70,66.10,237.00,339.00,94.80,76.80,32.50,8.88,25.80,6.79,19.20,1.66,33.20,13.80,23.80,1.39,18.80,2.26,4.91,2.23,0.01,0.85,0.09,53.80,44.60,62.80,53.70,23.50,59.90,21.60,38.80,45.50,50.10,49.60,40.50,18.70,0.00
0.24,3660.00,4480.00,9.40,26.90,42.50,2700.00,74.90,120.00,0.33,80.20,50.70,2620.00,25.10,49.20,3100.00,23.60,66.10,237.00,339.00,94.70,77.20,32.50,8.88,25.80,6.79,19.20,1.66,33.20,13.80,23.80,1.39,18.80,2.26,4.91,2.23,0.01,0.85,0.09,53.80,44.60,63.10,53.80,23.10,61.70,21.60,39.00,40.30,44.70,49.60,41.20,16.70,0.00
0.21,3680.00,4490.00,9.13,27.00,42.20,2700.00,75.10,120.00,0.33,80.20,50.20,2620.00,23.80,49.60,3100.00,22.20,66.10,239.00,338.00,94.70,77.10,32.20,8.83,25.90,6.82,19.40,1.65,32.80,14.00,23.50,1.15,19.40,2.24,4.85,2.36,0.01,0.85,0.09,53.80,44.60,63.40,53.50,20.90,60.60,21.40,40.10,38.70,45.70,49.40,40.20,20.00,0.00
0.21,3680.00,4480.00,9.36,26.70,42.10,2690.00,74.40,120.00,0.34,80.20,50.30,2620.00,24.90,50.70,3090.00,23.20,66.10,237.00,339.00,94.60,77.20,32.20,8.83,25.90,6.82,19.40,1.65,32.80,14.00,23.50,1.15,19.40,2.24,4.85,2.36,0.01,0.85,0.09,53.80,44.60,63.30,53.60,20.80,61.50,21.40,39.70,39.00,48.20,49.60,41.80,17.60,0.00
